"GEO","Sex","YEAR","Avg_age"
"Newfoundland and Labrador","M",1992,79
"Newfoundland and Labrador","F",1993,85
"Newfoundland and Labrador","M",1993,79
"Newfoundland and Labrador","F",1994,86
"Newfoundland and Labrador","M",1994,79
"Newfoundland and Labrador","F",1995,86
"Newfoundland and Labrador","M",1995,80
"Newfoundland and Labrador","F",1996,86
"Newfoundland and Labrador","M",1996,80
"Newfoundland and Labrador","F",1997,86
"Newfoundland and Labrador","M",1997,80
"Newfoundland and Labrador","F",1998,86
"Newfoundland and Labrador","M",1998,80
"Newfoundland and Labrador","F",1999,86
"Newfoundland and Labrador","M",1999,80
"Newfoundland and Labrador","F",2000,86
"Newfoundland and Labrador","M",2000,80
"Newfoundland and Labrador","F",2001,87
"Newfoundland and Labrador","M",2001,81
"Newfoundland and Labrador","F",2002,87
"Newfoundland and Labrador","M",2002,81
"Newfoundland and Labrador","F",2003,87
"Newfoundland and Labrador","M",2003,82
"Newfoundland and Labrador","F",2004,87
"Newfoundland and Labrador","M",2004,82
"Newfoundland and Labrador","F",2005,87
"Newfoundland and Labrador","M",2005,82
"Newfoundland and Labrador","F",2006,87
"Newfoundland and Labrador","M",2006,82
"Newfoundland and Labrador","F",2007,88
"Newfoundland and Labrador","M",2007,82
"Newfoundland and Labrador","F",2008,88
"Newfoundland and Labrador","M",2008,83
"Newfoundland and Labrador","F",2009,88
"Newfoundland and Labrador","M",2009,84
"Newfoundland and Labrador","F",2010,89
"Newfoundland and Labrador","M",2010,84
"Newfoundland and Labrador","F",2011,89
"Newfoundland and Labrador","M",2011,84
"Newfoundland and Labrador","F",2012,89
"Newfoundland and Labrador","M",2012,84
"Newfoundland and Labrador","F",2013,88
"Newfoundland and Labrador","M",2013,84
"Newfoundland and Labrador","F",2014,88
"Newfoundland and Labrador","M",2014,84
"Newfoundland and Labrador","F",2015,88
"Newfoundland and Labrador","M",2015,84
"Newfoundland and Labrador","F",2016,88
"Newfoundland and Labrador","M",2016,84.5
"Nova Scotia","F",1980,85
"Nova Scotia","M",1980,77
"Nova Scotia","F",1981,86
"Nova Scotia","M",1981,77
"Nova Scotia","F",1982,86
"Nova Scotia","M",1982,78
"Nova Scotia","F",1983,86
"Nova Scotia","M",1983,78
"Nova Scotia","F",1984,86
"Nova Scotia","M",1984,78
"Nova Scotia","F",1985,86
"Nova Scotia","M",1985,78
"Nova Scotia","F",1986,86
"Nova Scotia","M",1986,78
"Nova Scotia","F",1987,86
"Nova Scotia","M",1987,78
"Nova Scotia","F",1988,86
"Nova Scotia","M",1988,78
"Nova Scotia","F",1989,86
"Nova Scotia","M",1989,79
"Nova Scotia","F",1990,86
"Nova Scotia","M",1990,79
"Nova Scotia","F",1991,86
"Nova Scotia","M",1991,79
"Nova Scotia","F",1992,87
"Nova Scotia","M",1992,80
"Nova Scotia","F",1993,87
"Nova Scotia","M",1993,80
"Nova Scotia","F",1994,87
"Nova Scotia","M",1994,80
"Nova Scotia","F",1995,87
"Nova Scotia","M",1995,80
"Nova Scotia","F",1996,87
"Nova Scotia","M",1996,81
"Nova Scotia","F",1997,87
"Nova Scotia","M",1997,81
"Nova Scotia","F",1998,87
"Nova Scotia","M",1998,81
"Nova Scotia","F",1999,87
"Nova Scotia","M",1999,82
"Nova Scotia","F",2000,87
"Nova Scotia","M",2000,82
"Nova Scotia","F",2001,87
"Nova Scotia","M",2001,82.5
"Nova Scotia","F",2002,88
"Nova Scotia","M",2002,83
"Nova Scotia","F",2003,88
"Nova Scotia","M",2003,83
"Nova Scotia","F",2004,88
"Nova Scotia","M",2004,83
"Nova Scotia","F",2005,88
"Nova Scotia","M",2005,83
"Nova Scotia","F",2006,88
"Nova Scotia","M",2006,84
"Nova Scotia","F",2007,89
"Nova Scotia","M",2007,84
"Nova Scotia","F",2008,89
"Nova Scotia","M",2008,84
"Nova Scotia","F",2009,89
"Nova Scotia","M",2009,85
"Nova Scotia","F",2010,89
"Nova Scotia","M",2010,85
"Nova Scotia","F",2011,89
"Nova Scotia","M",2011,85
"Nova Scotia","F",2012,89
"Nova Scotia","M",2012,85
"Nova Scotia","F",2013,89
"Nova Scotia","M",2013,85
"Nova Scotia","F",2014,89
"Nova Scotia","M",2014,85
"Nova Scotia","F",2015,89
"Nova Scotia","M",2015,85
"Nova Scotia","F",2016,89
"Nova Scotia","M",2016,85
"Ontario","F",1980,86
"Ontario","M",1980,78
"Ontario","F",1981,86
"Ontario","M",1981,78
"Ontario","F",1982,86
"Ontario","M",1982,79
"Ontario","F",1983,86
"Ontario","M",1983,79
"Ontario","F",1984,87
"Ontario","M",1984,79
"Ontario","F",1985,87
"Ontario","M",1985,79
"Ontario","F",1986,87
"Ontario","M",1986,79
"Ontario","F",1987,87
"Ontario","M",1987,80
"Ontario","F",1988,87
"Ontario","M",1988,80
"Ontario","F",1989,87
"Ontario","M",1989,80
"Ontario","F",1990,87
"Ontario","M",1990,80
"Ontario","F",1991,87
"Ontario","M",1991,81
"Ontario","F",1992,87
"Ontario","M",1992,81
"Ontario","F",1993,87.5
"Ontario","M",1993,81
"Ontario","F",1994,88
"Ontario","M",1994,81
"Ontario","F",1995,88
"Ontario","M",1995,82
"Ontario","F",1996,88
"Ontario","M",1996,82
"Ontario","F",1997,88
"Ontario","M",1997,82
"Ontario","F",1998,88
"Ontario","M",1998,83
"Ontario","F",1999,88
"Ontario","M",1999,83
"Ontario","F",2000,88
"Ontario","M",2000,83
"Ontario","F",2001,89
"Ontario","M",2001,84
"Ontario","F",2002,89
"Ontario","M",2002,84
"Ontario","F",2003,89
"Ontario","M",2003,85
"Ontario","F",2004,89
"Ontario","M",2004,85
"Ontario","F",2005,89
"Ontario","M",2005,85
"Ontario","F",2006,90
"Ontario","M",2006,86
"Ontario","F",2007,90
"Ontario","M",2007,86
"Ontario","F",2008,90
"Ontario","M",2008,86
"Ontario","F",2009,90
"Ontario","M",2009,86
"Ontario","F",2010,90
"Ontario","M",2010,87
"Ontario","F",2011,91
"Ontario","M",2011,87
"Ontario","F",2012,91
"Ontario","M",2012,87
"Ontario","F",2013,91
"Ontario","M",2013,87
"Ontario","F",2014,91
"Ontario","M",2014,87
"Ontario","F",2015,91
"Ontario","M",2015,88
"Ontario","F",2016,91
"Ontario","M",2016,88
"Quebec","F",1980,86
"Quebec","M",1980,77
"Quebec","F",1981,86
"Quebec","M",1981,77
"Quebec","F",1982,86
"Quebec","M",1982,77
"Quebec","F",1983,86
"Quebec","M",1983,78
"Quebec","F",1984,86
"Quebec","M",1984,78
"Quebec","F",1985,86
"Quebec","M",1985,78
"Quebec","F",1986,86
"Quebec","M",1986,78
"Quebec","F",1987,87
"Quebec","M",1987,78
"Quebec","F",1988,87
"Quebec","M",1988,78
"Quebec","F",1989,87
"Quebec","M",1989,79
"Quebec","F",1990,87
"Quebec","M",1990,79
"Quebec","F",1991,87
"Quebec","M",1991,79
"Quebec","F",1992,88
"Quebec","M",1992,80
"Quebec","F",1993,88
"Quebec","M",1993,80
"Quebec","F",1994,88
"Quebec","M",1994,80
"Quebec","F",1995,88
"Quebec","M",1995,80
"Quebec","F",1996,88
"Quebec","M",1996,81
"Quebec","F",1997,88
"Quebec","M",1997,81
"Quebec","F",1998,88
"Quebec","M",1998,81
"Quebec","F",1999,88
"Quebec","M",1999,82
"Quebec","F",2000,89
"Quebec","M",2000,82
"Quebec","F",2001,89
"Quebec","M",2001,83
"Quebec","F",2002,89
"Quebec","M",2002,83
"Quebec","F",2003,89
"Quebec","M",2003,84
"Quebec","F",2004,89
"Quebec","M",2004,84
"Quebec","F",2005,89
"Quebec","M",2005,85
"Quebec","F",2006,90
"Quebec","M",2006,85
"Quebec","F",2007,90
"Quebec","M",2007,85
"Quebec","F",2008,90
"Quebec","M",2008,85
"Quebec","F",2009,90
"Quebec","M",2009,86
"Quebec","F",2010,90
"Quebec","M",2010,86
"Quebec","F",2011,90
"Quebec","M",2011,86
"Quebec","F",2012,90
"Quebec","M",2012,86
"Quebec","F",2013,90
"Quebec","M",2013,87
"Quebec","F",2014,91
"Quebec","M",2014,87
"Quebec","F",2015,91
"Quebec","M",2015,87
"Quebec","F",2016,91
"Quebec","M",2016,87
"Saskatchewan","F",1980,88
"Saskatchewan","M",1980,81
"Saskatchewan","F",1981,88
"Saskatchewan","M",1981,81
"Saskatchewan","F",1982,88
"Saskatchewan","M",1982,81
"Saskatchewan","F",1983,88
"Saskatchewan","M",1983,81
"Saskatchewan","F",1984,89
"Saskatchewan","M",1984,81
"Saskatchewan","F",1985,89
"Saskatchewan","M",1985,81
"Saskatchewan","F",1986,89
"Saskatchewan","M",1986,82
"Saskatchewan","F",1987,89
"Saskatchewan","M",1987,82
"Saskatchewan","F",1988,89
"Saskatchewan","M",1988,82
"Saskatchewan","F",1989,89
"Saskatchewan","M",1989,82
"Saskatchewan","F",1990,89
"Saskatchewan","M",1990,82
"Saskatchewan","F",1991,89
"Saskatchewan","M",1991,82
"Saskatchewan","F",1992,89
"Saskatchewan","M",1992,82
"Saskatchewan","F",1993,89
"Saskatchewan","M",1993,82
"Saskatchewan","F",1994,89
"Saskatchewan","M",1994,83
"Saskatchewan","F",1995,89
"Saskatchewan","M",1995,83
"Saskatchewan","F",1996,89
"Saskatchewan","M",1996,83
"Saskatchewan","F",1997,89
"Saskatchewan","M",1997,83
"Saskatchewan","F",1998,89
"Saskatchewan","M",1998,83
"Saskatchewan","F",1999,89
"Saskatchewan","M",1999,83
"Saskatchewan","F",2000,89
"Saskatchewan","M",2000,83
"Saskatchewan","F",2001,89
"Saskatchewan","M",2001,83
"Saskatchewan","F",2002,89
"Saskatchewan","M",2002,83
"Saskatchewan","F",2003,89
"Saskatchewan","M",2003,84
"Saskatchewan","F",2004,89
"Saskatchewan","M",2004,84
"Saskatchewan","F",2005,89
"Saskatchewan","M",2005,85
"Saskatchewan","F",2006,90
"Saskatchewan","M",2006,85
"Saskatchewan","F",2007,90
"Saskatchewan","M",2007,85
"Saskatchewan","F",2008,90
"Saskatchewan","M",2008,85
"Saskatchewan","F",2009,90
"Saskatchewan","M",2009,85
"Saskatchewan","F",2010,90
"Saskatchewan","M",2010,86
"Saskatchewan","F",2011,90
"Saskatchewan","M",2011,86
"Saskatchewan","F",2012,90
"Saskatchewan","M",2012,86
"Saskatchewan","F",2013,90
"Saskatchewan","M",2013,86
"Saskatchewan","F",2014,90
"Saskatchewan","M",2014,86
"Saskatchewan","F",2015,90
"Saskatchewan","M",2015,86
"Saskatchewan","F",2016,90
"Saskatchewan","M",2016,86
